t,stamp,phone_leena,keys_leena,wallet_leena,laptop_leena,charger_leena,backpack_leena,jacket_leena,headphones_leena,glasses_leena,notebook_leena,pen_leena,water_bottle_leena,lunchbox_leena,mug_leena,mug_shared_1,bowl_leena,plate_leena,pot_shared_1,pan_shared_1,book_leena,remote_shared_1,blanket_leena,yoga_mat_leena,laundry_basket_leena,towel_leena,vacuum_cleaner_shared_1,watering_can_leena,medication_bottle_leena,hairbrush_leena,makeup_kit_leena,suitcase_leena,umbrella_leena
10140,d07 Mon 01:00,bedroom,entry,kitchen,kitchen,bedroom,kitchen,entry,kitchen,bedroom,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bedroom,kitchen,bathroom,bedroom,entry
10200,d07 Mon 02:00,bedroom,entry,kitchen,kitchen,bedroom,kitchen,entry,kitchen,bedroom,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bedroom,kitchen,bathroom,bedroom,entry
10260,d07 Mon 03:00,bedroom,entry,kitchen,kitchen,bedroom,kitchen,entry,kitchen,bedroom,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bedroom,kitchen,bathroom,bedroom,entry
10320,d07 Mon 04:00,bedroom,entry,kitchen,kitchen,bedroom,kitchen,entry,kitchen,bedroom,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bedroom,kitchen,bathroom,bedroom,entry
10380,d07 Mon 05:00,bedroom,entry,kitchen,kitchen,bedroom,kitchen,entry,kitchen,bedroom,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bedroom,kitchen,bathroom,bedroom,entry
10440,d07 Mon 06:00,bedroom,entry,kitchen,kitchen,bedroom,kitchen,entry,kitchen,bedroom,kitchen,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,living,bedroom,bathroom,entry,kitchen,bedroom,kitchen,bathroom,bedroom,entry
10500,d07 Mon 07:00,bedroom,entry,kitchen,kitchen,bedroom,kitchen,entry,kitchen,bedroom,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,entry
10560,d07 Mon 08:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,living,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
10620,d07 Mon 09:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,living,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
10680,d07 Mon 10:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,living,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
10740,d07 Mon 11:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,living,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
10800,d07 Mon 12:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,living,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
10860,d07 Mon 13:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,living,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
10920,d07 Mon 14:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,living,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
10980,d07 Mon 15:00,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
11040,d07 Mon 16:00,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
11100,d07 Mon 17:00,kitchen,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
11160,d07 Mon 18:00,living,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
11220,d07 Mon 19:00,living,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
11280,d07 Mon 20:00,living,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
11340,d07 Mon 21:00,living,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
11400,d07 Mon 22:00,living,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
11460,d07 Mon 23:00,living,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
11520,d08 Tue 00:00,living,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
11580,d08 Tue 01:00,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
11640,d08 Tue 02:00,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
11700,d08 Tue 03:00,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
11760,d08 Tue 04:00,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
11820,d08 Tue 05:00,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
11880,d08 Tue 06:00,bedroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
11940,d08 Tue 07:00,bathroom,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,kitchen
12000,d08 Tue 08:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,kitchen,outside,bedroom,outside
12060,d08 Tue 09:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,kitchen,outside,bedroom,outside
12120,d08 Tue 10:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,kitchen,outside,bedroom,outside
12180,d08 Tue 11:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,kitchen,outside,bedroom,outside
12240,d08 Tue 12:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,kitchen,outside,bedroom,outside
12300,d08 Tue 13:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,kitchen,outside,bedroom,outside
12360,d08 Tue 14:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,kitchen,outside,bedroom,outside
12420,d08 Tue 15:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,kitchen,outside,bedroom,outside
12480,d08 Tue 16:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,kitchen,outside,bedroom,outside
12540,d08 Tue 17:00,entry,entry,entry,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,kitchen,kitchen,bedroom,entry
12600,d08 Tue 18:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,kitchen,kitchen,bedroom,entry
12660,d08 Tue 19:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,kitchen,kitchen,bedroom,entry
12720,d08 Tue 20:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,kitchen,kitchen,bedroom,entry
12780,d08 Tue 21:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,kitchen,kitchen,bedroom,entry
12840,d08 Tue 22:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,kitchen,kitchen,bedroom,entry
12900,d08 Tue 23:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,kitchen,kitchen,bedroom,entry
12960,d09 Wed 00:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,kitchen,kitchen,bedroom,entry
13020,d09 Wed 01:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,kitchen,kitchen,bedroom,entry
13080,d09 Wed 02:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,kitchen,kitchen,bedroom,entry
13140,d09 Wed 03:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,kitchen,kitchen,bedroom,entry
13200,d09 Wed 04:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,kitchen,kitchen,bedroom,entry
13260,d09 Wed 05:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,kitchen,kitchen,bedroom,entry
13320,d09 Wed 06:00,entry,entry,entry,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,kitchen,kitchen,bedroom,entry
13380,d09 Wed 07:00,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,entry
13440,d09 Wed 08:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
13500,d09 Wed 09:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
13560,d09 Wed 10:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
13620,d09 Wed 11:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
13680,d09 Wed 12:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
13740,d09 Wed 13:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
13800,d09 Wed 14:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
13860,d09 Wed 15:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
13920,d09 Wed 16:00,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
13980,d09 Wed 17:00,kitchen,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
14040,d09 Wed 18:00,kitchen,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
14100,d09 Wed 19:00,living,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
14160,d09 Wed 20:00,living,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
14220,d09 Wed 21:00,living,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
14280,d09 Wed 22:00,living,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
14340,d09 Wed 23:00,living,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
14400,d10 Thu 00:00,living,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
14460,d10 Thu 01:00,bedroom,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
14520,d10 Thu 02:00,bedroom,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
14580,d10 Thu 03:00,bedroom,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
14640,d10 Thu 04:00,bedroom,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
14700,d10 Thu 05:00,bedroom,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
14760,d10 Thu 06:00,bedroom,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,kitchen
14820,d10 Thu 07:00,bathroom,entry,kitchen,living,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,bedroom,bathroom,entry,kitchen,bathroom,bedroom,kitchen,bedroom,kitchen
14880,d10 Thu 08:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,living,living,kitchen,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
14940,d10 Thu 09:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,living,living,kitchen,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
15000,d10 Thu 10:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,living,living,kitchen,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
15060,d10 Thu 11:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,living,living,kitchen,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
15120,d10 Thu 12:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,living,living,kitchen,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
15180,d10 Thu 13:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,living,living,kitchen,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
15240,d10 Thu 14:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,kitchen,living,living,kitchen,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
15300,d10 Thu 15:00,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
15360,d10 Thu 16:00,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
15420,d10 Thu 17:00,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
15480,d10 Thu 18:00,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
15540,d10 Thu 19:00,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
15600,d10 Thu 20:00,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,kitchen,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
